,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,TOTAL_CALL
0,2013-01-02,34,24,0.0,10,18,2,1,False,885.0
26006,2013-01-04,38,34,0.0,10,20,4,1,False,975.0
29952,2013-01-05,43,34,0.0,10,18,5,1,False,841.0
3754,2013-01-06,46,35,0.0,10,16,6,1,False,849.0
33399,2013-01-07,45,38,0.0,10,16,0,1,False,950.0
37385,2013-01-08,49,37,0.0,10,17,1,1,False,969.0
7194,2013-01-09,50,37,0.0,10,23,2,1,False,931.0
11001,2013-01-10,48,40,0.0,10,20,3,1,False,963.0
15054,2013-01-11,45,37,0.0,10,10,4,1,False,932.0
41416,2013-01-12,45,42,0.0,7,13,5,1,False,855.0
45059,2013-01-13,50,42,0.0,10,9,6,1,False,862.0
48615,2013-01-14,55,40,0.0,10,18,0,1,False,918.0
52554,2013-01-15,39,36,0.0,10,10,1,1,False,809.0
56103,2013-01-16,38,33,0.0,10,10,2,1,False,877.0
59801,2013-01-17,43,37,0.0,10,17,3,1,False,874.0
19149,2013-01-18,35,26,0.0,10,16,4,1,False,812.0
63377,2013-01-19,52,30,0.0,10,20,5,1,False,790.0
66771,2013-01-20,54,33,0.0,10,28,6,1,False,777.0
70042,2013-01-21,32,28,0.0,10,18,0,1,True,768.0
73209,2013-01-22,28,16,0.0,10,24,1,1,False,831.0
22763,2013-01-23,19,12,0.0,10,20,2,1,False,771.0
76649,2013-01-24,24,15,0.0,10,29,3,1,False,730.0
80023,2013-01-25,25,15,0.0,10,17,4,1,False,822.0
87138,2013-01-26,29,18,0.0,10,22,5,1,False,759.0
104627,2013-01-28,36,30,0.0,10,13,0,1,False,836.0
108252,2013-01-29,45,37,0.0,9,16,1,1,False,823.0
83554,2013-01-30,54,37,0.0,10,21,2,1,False,859.0
