,BOROUGH,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,TOTAL_CALL
0,BRONX,2013-01-02,34,24,0.0,10,18,2,1,False,885
1,MANHATTAN,2013-01-02,34,24,0.0,10,18,2,1,False,864
4,BROOKLYN,2013-01-02,34,24,0.0,10,18,2,1,False,1136
5,RICHMOND / STATEN ISLAND,2013-01-02,34,24,0.0,10,18,2,1,False,158
12,QUEENS,2013-01-02,34,24,0.0,10,18,2,1,False,709
26012,QUEENS,2013-01-04,38,34,0.0,10,20,4,1,False,735
26017,MANHATTAN,2013-01-04,38,34,0.0,10,20,4,1,False,920
26026,RICHMOND / STATEN ISLAND,2013-01-04,38,34,0.0,10,20,4,1,False,176
26008,BROOKLYN,2013-01-04,38,34,0.0,10,20,4,1,False,1138
26006,BRONX,2013-01-04,38,34,0.0,10,20,4,1,False,975
29967,RICHMOND / STATEN ISLAND,2013-01-05,43,34,0.0,10,18,5,1,False,146
29951,BROOKLYN,2013-01-05,43,34,0.0,10,18,5,1,False,1059
29952,BRONX,2013-01-05,43,34,0.0,10,18,5,1,False,841
29954,MANHATTAN,2013-01-05,43,34,0.0,10,18,5,1,False,734
29957,QUEENS,2013-01-05,43,34,0.0,10,18,5,1,False,640
3752,QUEENS,2013-01-06,46,35,0.0,10,16,6,1,False,662
3754,BRONX,2013-01-06,46,35,0.0,10,16,6,1,False,849
3756,MANHATTAN,2013-01-06,46,35,0.0,10,16,6,1,False,779
3760,RICHMOND / STATEN ISLAND,2013-01-06,46,35,0.0,10,16,6,1,False,165
3761,BROOKLYN,2013-01-06,46,35,0.0,10,16,6,1,False,987
33399,BRONX,2013-01-07,45,38,0.0,10,16,0,1,False,950
33372,BROOKLYN,2013-01-07,45,38,0.0,10,16,0,1,False,1170
33375,QUEENS,2013-01-07,45,38,0.0,10,16,0,1,False,794
33390,RICHMOND / STATEN ISLAND,2013-01-07,45,38,0.0,10,16,0,1,False,180
33371,MANHATTAN,2013-01-07,45,38,0.0,10,16,0,1,False,912
37377,QUEENS,2013-01-08,49,37,0.0,10,17,1,1,False,756
37378,MANHATTAN,2013-01-08,49,37,0.0,10,17,1,1,False,914
37379,BROOKLYN,2013-01-08,49,37,0.0,10,17,1,1,False,1233
37429,RICHMOND / STATEN ISLAND,2013-01-08,49,37,0.0,10,17,1,1,False,163
37385,BRONX,2013-01-08,49,37,0.0,10,17,1,1,False,969
7220,RICHMOND / STATEN ISLAND,2013-01-09,50,37,0.0,10,23,2,1,False,150
7194,BRONX,2013-01-09,50,37,0.0,10,23,2,1,False,931
