,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,CALLS_PER_DAY_NYC
0,2013-01-02,34,24,0.0,10,18,2,1,False,3752.0
1,2013-01-04,38,34,0.0,10,20,4,1,False,3945.0
2,2013-01-05,43,34,0.0,10,18,5,1,False,3420.0
3,2013-01-06,46,35,0.0,10,16,6,1,False,3442.0
4,2013-01-07,45,38,0.0,10,16,0,1,False,4006.0
5,2013-01-08,49,37,0.0,10,17,1,1,False,4035.0
6,2013-01-09,50,37,0.0,10,23,2,1,False,3805.0
7,2013-01-10,48,40,0.0,10,20,3,1,False,4048.0
8,2013-01-11,45,37,0.0,10,10,4,1,False,4102.0
9,2013-01-12,45,42,0.0,7,13,5,1,False,3647.0
10,2013-01-13,50,42,0.0,10,9,6,1,False,3550.0
11,2013-01-14,55,40,0.0,10,18,0,1,False,3943.0
12,2013-01-15,39,36,0.0,10,10,1,1,False,3547.0
13,2013-01-16,38,33,0.0,10,10,2,1,False,3696.0
14,2013-01-17,43,37,0.0,10,17,3,1,False,3578.0
15,2013-01-18,35,26,0.0,10,16,4,1,False,3613.0
16,2013-01-19,52,30,0.0,10,20,5,1,False,3396.0
17,2013-01-20,54,33,0.0,10,28,6,1,False,3271.0
18,2013-01-21,32,28,0.0,10,18,0,1,True,3164.0
19,2013-01-22,28,16,0.0,10,24,1,1,False,3440.0
20,2013-01-23,19,12,0.0,10,20,2,1,False,3244.0
21,2013-01-24,24,15,0.0,10,29,3,1,False,3379.0
22,2013-01-25,25,15,0.0,10,17,4,1,False,3526.0
23,2013-01-26,29,18,0.0,10,22,5,1,False,3328.0
24,2013-01-28,36,30,0.0,10,13,0,1,False,3625.0
25,2013-01-29,45,37,0.0,9,16,1,1,False,3660.0
26,2013-01-30,54,37,0.0,10,21,2,1,False,3566.0
27,2013-01-31,59,31,0.0,10,40,3,1,False,3510.0
28,2013-02-01,32,25,0.0,10,22,4,1,False,3592.0
29,2013-02-02,29,20,0.0,10,16,5,1,False,3491.0
30,2013-02-03,31,24,0.0,10,14,6,1,False,3212.0
31,2013-02-04,31,25,0.0,10,22,0,1,False,3699.0
32,2013-02-05,31,28,0.0,10,14,1,1,False,3579.0
33,2013-02-06,39,30,0.0,10,20,2,1,False,3521.0
34,2013-02-07,32,27,0.0,10,12,3,1,False,3542.0
