,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,TOTAL_CALL
4,2013-01-02,34,24,0.0,10,18,2,1,False,1136.0
26008,2013-01-04,38,34,0.0,10,20,4,1,False,1138.0
29951,2013-01-05,43,34,0.0,10,18,5,1,False,1059.0
3761,2013-01-06,46,35,0.0,10,16,6,1,False,987.0
33372,2013-01-07,45,38,0.0,10,16,0,1,False,1170.0
37379,2013-01-08,49,37,0.0,10,17,1,1,False,1233.0
7197,2013-01-09,50,37,0.0,10,23,2,1,False,1145.0
11000,2013-01-10,48,40,0.0,10,20,3,1,False,1228.0
15047,2013-01-11,45,37,0.0,10,10,4,1,False,1204.0
41412,2013-01-12,45,42,0.0,7,13,5,1,False,1036.0
45063,2013-01-13,50,42,0.0,10,9,6,1,False,1020.0
48618,2013-01-14,55,40,0.0,10,18,0,1,False,1191.0
52558,2013-01-15,39,36,0.0,10,10,1,1,False,1013.0
56101,2013-01-16,38,33,0.0,10,10,2,1,False,1099.0
59796,2013-01-17,43,37,0.0,10,17,3,1,False,1039.0
19150,2013-01-18,35,26,0.0,10,16,4,1,False,1105.0
63380,2013-01-19,52,30,0.0,10,20,5,1,False,1048.0
66770,2013-01-20,54,33,0.0,10,28,6,1,False,992.0
70044,2013-01-21,32,28,0.0,10,18,0,1,True,971.0
73208,2013-01-22,28,16,0.0,10,24,1,1,False,1010.0
22765,2013-01-23,19,12,0.0,10,20,2,1,False,998.0
76647,2013-01-24,24,15,0.0,10,29,3,1,False,1012.0
80024,2013-01-25,25,15,0.0,10,17,4,1,False,1053.0
87116,2013-01-26,29,18,0.0,10,22,5,1,False,990.0
104638,2013-01-28,36,30,0.0,10,13,0,1,False,1024.0
108256,2013-01-29,45,37,0.0,9,16,1,1,False,1112.0
83549,2013-01-30,54,37,0.0,10,21,2,1,False,1010.0
111913,2013-01-31,59,31,0.0,10,40,3,1,False,1067.0
115426,2013-02-01,32,25,0.0,10,22,4,1,False,1048.0
119017,2013-02-02,29,20,0.0,10,16,5,1,False,1005.0
122507,2013-02-03,31,24,0.0,10,14,6,1,False,984.0
90445,2013-02-04,31,25,0.0,10,22,0,1,False,1182.0
125718,2013-02-05,31,28,0.0,10,14,1,1,False,1069.0
129296,2013-02-06,39,30,0.0,10,20,2,1,False,1060.0
132818,2013-02-07,32,27,0.0,10,12,3,1,False,1024.0
136360,2013-02-08,36,28,0.0,10,29,4,1,False,1000.0
139703,2013-02-09,34,25,0.0,10,28,5,1,False,1007.0
94143,2013-02-10,36,20,0.0,10,15,6,1,False,1013.0
97429,2013-02-11,45,34,0.0,10,10,0,1,False,1202.0
143006,2013-02-12,44,39,0.0,10,23,1,1,False,1024.0
146568,2013-02-13,43,34,0.0,10,12,2,1,False,1048.0
150104,2013-02-14,46,34,0.0,10,15,3,1,False,1057.0
153720,2013-02-15,52,38,0.0,10,14,4,1,False,1035.0
101386,2013-02-16,39,32,0.0,10,17,5,1,False,985.0
157489,2013-02-17,31,19,0.0,10,35,6,1,False,920.0
160630,2013-02-18,36,19,0.0,10,29,0,1,True,962.0
163776,2013-02-19,47,33,0.0,10,17,1,1,False,1022.0
167160,2013-02-20,39,27,0.0,10,28,2,1,False,936.0
170526,2013-02-21,34,26,0.0,10,26,3,1,False,935.0
