,2020-01-01,temp_max,temp_min,precipitation,visibility,max_wind_speed
0,2013-01-02,34,24,0.00,10,18
1,2013-01-04,38,34,0.00,10,20
2,2013-01-05,43,34,0.00,10,18
3,2013-01-06,46,35,0.00,10,16
4,2013-01-07,45,38,0.00,10,16
5,2013-01-08,49,37,0.00,10,17
6,2013-01-09,50,37,0.00,10,23
7,2013-01-10,48,40,0.00,10,20
8,2013-01-11,45,37,0.00,10,10
9,2013-01-12,45,42,0.00,7,13
10,2013-01-13,50,42,0.00,10,9
11,2013-01-14,55,40,0.00,10,18
12,2013-01-15,39,36,0.00,10,10
13,2013-01-16,38,33,0.00,10,10
14,2013-01-17,43,37,0.00,10,17
15,2013-01-18,35,26,0.00,10,16
16,2013-01-19,52,30,0.00,10,20
17,2013-01-20,54,33,0.00,10,28
18,2013-01-21,32,28,0.00,10,18
19,2013-01-22,28,16,0.00,10,24
20,2013-01-23,19,12,0.00,10,20
21,2013-01-24,24,15,0.00,10,29
22,2013-01-25,25,15,0.00,10,17
23,2013-01-26,29,18,0.00,10,22
24,2013-01-28,36,30,0.00,10,13
25,2013-01-29,45,37,0.00,9,16
26,2013-01-30,54,37,0.00,10,21
27,2013-01-31,59,31,0.00,10,40
28,2013-02-01,32,25,0.00,10,22
29,2013-02-02,29,20,0.00,10,16
30,2013-02-03,31,24,0.00,10,14
31,2013-02-04,31,25,0.00,10,22
32,2013-02-05,31,28,0.00,10,14
33,2013-02-06,39,30,0.00,10,20
34,2013-02-07,32,27,0.00,10,12
35,2013-02-08,36,28,0.00,10,29
36,2013-02-09,34,25,0.00,10,28
37,2013-02-10,36,20,0.00,10,15
38,2013-02-11,45,34,0.00,10,10
39,2013-02-12,44,39,0.00,10,23
40,2013-02-13,43,34,0.00,10,12
41,2013-02-14,46,34,0.00,10,15
42,2013-02-15,52,38,0.00,10,14
43,2013-02-16,39,32,0.00,10,17
44,2013-02-17,31,19,0.00,10,35
45,2013-02-18,36,19,0.00,10,29
46,2013-02-19,47,33,0.00,10,17
47,2013-02-20,39,27,0.00,10,28
48,2013-02-21,34,26,0.00,10,26
49,2013-02-22,39,27,0.00,10,12
50,2013-02-23,39,35,0.00,10,17
51,2013-02-24,45,35,0.00,10,23
52,2013-02-25,43,33,0.00,10,14
53,2013-02-26,44,34,0.00,10,18
54,2013-02-27,48,37,0.00,10,28
55,2013-02-28,49,41,0.00,10,16
56,2013-03-01,44,37,0.00,10,17
57,2013-03-02,39,32,0.00,10,16
58,2013-03-03,40,30,0.00,10,20
59,2013-03-04,40,28,0.00,10,25
60,2013-03-05,47,33,0.00,10,17
61,2013-03-06,43,38,0.00,10,36
62,2013-03-07,38,34,0.00,10,23
63,2013-03-08,42,32,0.00,10,22
64,2013-03-09,54,37,0.00,10,21
65,2013-03-10,46,35,0.00,10,10
66,2013-03-11,52,39,0.00,10,18
67,2013-03-12,55,45,0.00,10,29
68,2013-03-13,51,41,0.00,10,20
69,2013-03-14,41,30,0.00,10,30
70,2013-03-15,47,31,0.00,10,22
71,2013-03-16,42,33,0.00,10,15
72,2013-03-17,38,30,0.00,10,17
73,2013-03-18,35,29,0.00,10,18
74,2013-03-19,44,34,0.00,10,24
75,2013-03-20,45,34,0.00,10,21
76,2013-03-21,38,33,0.00,10,20
77,2013-03-22,41,30,0.00,10,20
78,2013-03-23,45,35,0.00,10,23
79,2013-03-24,46,34,0.00,10,14
80,2013-03-25,40,37,0.00,10,23
81,2013-03-26,49,39,0.00,10,13
82,2013-03-27,52,38,0.00,10,24
83,2013-03-28,49,39,0.00,10,21
84,2013-03-29,54,42,0.00,10,20
85,2013-03-30,57,42,0.00,10,14
86,2013-03-31,54,40,0.00,10,22
87,2013-04-01,61,40,0.00,10,29
88,2013-04-02,44,34,0.00,10,24
89,2013-04-03,46,35,0.00,10,24
90,2013-04-04,49,35,0.00,10,18
91,2013-04-05,61,42,0.00,10,25
92,2013-04-07,54,41,0.00,10,29
93,2013-04-08,71,47,0.00,10,13
94,2013-04-09,80,47,0.00,10,24
95,2013-04-10,69,53,0.00,10,33
96,2013-04-11,59,48,0.00,10,18
97,2013-04-12,47,42,0.00,10,25
98,2013-04-13,56,42,0.00,10,12
99,2013-04-14,55,49,0.00,10,18
100,2013-04-15,56,45,0.00,10,15
101,2013-04-16,60,47,0.00,10,24
