,2020-01-01,temp_max,temp_min,precipitation,visibility,max_wind_speed
0,2018-01-24,45,28,0.28,10,24
1,2018-01-25,35,24,0.00,10,21
2,2018-01-26,38,28,0.00,10,10
3,2018-01-27,56,36,0.00,10,17
4,2018-01-28,54,42,0.19,10,16
5,2018-01-29,43,35,0.08,10,21
6,2018-01-30,37,26,0.06,10,28
7,2018-01-31,33,19,0.00,10,21
8,2018-02-01,44,33,0.00,10,12
9,2018-02-02,39,18,0.23,10,32
10,2018-02-03,31,17,0.00,10,18
11,2018-02-04,47,31,0.00,10,15
12,2018-02-05,41,28,1.01,10,30
13,2018-02-06,38,28,0.00,10,10
14,2018-02-07,46,30,0.00,10,28
15,2018-02-08,34,27,0.85,10,22
16,2018-02-09,39,28,0.00,10,16
17,2018-02-10,51,39,0.00,10,10
18,2018-02-12,62,34,0.99,10,22
19,2018-02-13,37,27,0.00,10,15
20,2018-02-14,53,36,0.01,10,15
21,2018-02-15,60,46,0.13,10,14
22,2018-02-16,59,37,0.16,10,26
23,2018-02-17,39,30,0.05,10,16
24,2018-02-18,45,33,0.62,10,20
25,2018-02-19,49,34,0.00,10,14
26,2018-02-20,69,48,0.03,10,18
27,2018-02-21,78,50,0.00,10,16
28,2018-02-22,57,37,0.02,10,15
29,2018-02-23,44,37,0.11,10,15
30,2018-02-24,53,43,0.07,10,15
31,2018-02-25,45,40,0.62,10,20
32,2018-02-26,52,44,0.22,10,15
33,2018-02-27,57,40,0.00,10,15
34,2018-02-28,61,43,0.00,10,15
35,2018-03-01,58,43,0.00,10,15
36,2018-03-02,44,36,1.47,10,37
37,2018-03-03,46,38,0.71,10,30
38,2018-03-04,44,35,0.00,10,26
39,2018-03-05,41,35,0.00,10,23
40,2018-03-06,46,35,0.00,10,16
41,2018-03-07,39,34,0.10,10,30
42,2018-03-08,41,34,0.80,10,16
43,2018-03-09,44,32,0.00,10,28
44,2018-03-10,41,33,0.00,10,20
45,2018-03-11,46,34,0.00,10,18
46,2018-03-12,42,33,0.00,10,20
47,2018-03-13,41,34,0.21,10,24
48,2018-03-14,42,33,0.05,10,24
49,2018-03-15,48,34,0.00,10,22
