,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,TOTAL_CALL
12,2013-01-02,34,24,0.0,10,18,2,1,False,709.0
26012,2013-01-04,38,34,0.0,10,20,4,1,False,735.0
29957,2013-01-05,43,34,0.0,10,18,5,1,False,640.0
3752,2013-01-06,46,35,0.0,10,16,6,1,False,662.0
33375,2013-01-07,45,38,0.0,10,16,0,1,False,794.0
37377,2013-01-08,49,37,0.0,10,17,1,1,False,756.0
7196,2013-01-09,50,37,0.0,10,23,2,1,False,700.0
10999,2013-01-10,48,40,0.0,10,20,3,1,False,751.0
15048,2013-01-11,45,37,0.0,10,10,4,1,False,816.0
41417,2013-01-12,45,42,0.0,7,13,5,1,False,740.0
45064,2013-01-13,50,42,0.0,10,9,6,1,False,664.0
48609,2013-01-14,55,40,0.0,10,18,0,1,False,755.0
52552,2013-01-15,39,36,0.0,10,10,1,1,False,702.0
56099,2013-01-16,38,33,0.0,10,10,2,1,False,698.0
59795,2013-01-17,43,37,0.0,10,17,3,1,False,660.0
19151,2013-01-18,35,26,0.0,10,16,4,1,False,681.0
63373,2013-01-19,52,30,0.0,10,20,5,1,False,635.0
66777,2013-01-20,54,33,0.0,10,28,6,1,False,643.0
70043,2013-01-21,32,28,0.0,10,18,0,1,True,591.0
73204,2013-01-22,28,16,0.0,10,24,1,1,False,658.0
22762,2013-01-23,19,12,0.0,10,20,2,1,False,630.0
76644,2013-01-24,24,15,0.0,10,29,3,1,False,634.0
80027,2013-01-25,25,15,0.0,10,17,4,1,False,670.0
87119,2013-01-26,29,18,0.0,10,22,5,1,False,663.0
104642,2013-01-28,36,30,0.0,10,13,0,1,False,756.0
108253,2013-01-29,45,37,0.0,9,16,1,1,False,688.0
83553,2013-01-30,54,37,0.0,10,21,2,1,False,691.0
111912,2013-01-31,59,31,0.0,10,40,3,1,False,721.0
115423,2013-02-01,32,25,0.0,10,22,4,1,False,681.0
119029,2013-02-02,29,20,0.0,10,16,5,1,False,658.0
122529,2013-02-03,31,24,0.0,10,14,6,1,False,595.0
90444,2013-02-04,31,25,0.0,10,22,0,1,False,682.0
125726,2013-02-05,31,28,0.0,10,14,1,1,False,675.0
129298,2013-02-06,39,30,0.0,10,20,2,1,False,657.0
132817,2013-02-07,32,27,0.0,10,12,3,1,False,702.0
136370,2013-02-08,36,28,0.0,10,29,4,1,False,645.0
139706,2013-02-09,34,25,0.0,10,28,5,1,False,628.0
94142,2013-02-10,36,20,0.0,10,15,6,1,False,653.0
97444,2013-02-11,45,34,0.0,10,10,0,1,False,733.0
143005,2013-02-12,44,39,0.0,10,23,1,1,False,693.0
146578,2013-02-13,43,34,0.0,10,12,2,1,False,634.0
150103,2013-02-14,46,34,0.0,10,15,3,1,False,689.0
153714,2013-02-15,52,38,0.0,10,14,4,1,False,732.0
101382,2013-02-16,39,32,0.0,10,17,5,1,False,620.0
157490,2013-02-17,31,19,0.0,10,35,6,1,False,584.0
160641,2013-02-18,36,19,0.0,10,29,0,1,True,647.0
163774,2013-02-19,47,33,0.0,10,17,1,1,False,687.0
167161,2013-02-20,39,27,0.0,10,28,2,1,False,643.0
170524,2013-02-21,34,26,0.0,10,26,3,1,False,640.0
173734,2013-02-22,39,27,0.0,10,12,4,1,False,661.0
200965,2013-02-23,39,35,0.0,10,17,5,1,False,621.0
204186,2013-02-24,45,35,0.0,10,23,6,1,False,602.0
207356,2013-02-25,43,33,0.0,10,14,0,1,False,676.0
210889,2013-02-26,44,34,0.0,10,18,1,1,False,654.0
214357,2013-02-27,48,37,0.0,10,28,2,1,False,605.0
217650,2013-02-28,49,41,0.0,10,16,3,1,False,653.0
221135,2013-03-01,44,37,0.0,10,17,4,2,False,697.0
224771,2013-03-02,39,32,0.0,10,16,5,2,False,632.0
228210,2013-03-03,40,30,0.0,10,20,6,2,False,608.0
231507,2013-03-04,40,28,0.0,10,25,0,2,False,688.0
235021,2013-03-05,47,33,0.0,10,17,1,2,False,697.0
177155,2013-03-06,43,38,0.0,10,36,2,2,False,601.0
180551,2013-03-07,38,34,0.0,10,23,3,2,False,582.0
183807,2013-03-08,42,32,0.0,10,22,4,2,False,687.0
238670,2013-03-09,54,37,0.0,10,21,5,2,False,705.0
187250,2013-03-10,46,35,0.0,10,10,6,2,False,616.0
242230,2013-03-11,52,39,0.0,10,18,0,2,False,682.0
245928,2013-03-12,55,45,0.0,10,29,1,2,False,637.0
249292,2013-03-13,51,41,0.0,10,20,2,2,False,685.0
252926,2013-03-14,41,30,0.0,10,30,3,2,False,675.0
190484,2013-03-15,47,31,0.0,10,22,4,2,False,656.0
194119,2013-03-16,42,33,0.0,10,15,5,2,False,679.0
256308,2013-03-17,38,30,0.0,10,17,6,2,False,626.0
259502,2013-03-18,35,29,0.0,10,18,0,2,False,771.0
197642,2013-03-19,44,34,0.0,10,24,1,2,False,656.0
263079,2013-03-20,45,34,0.0,10,21,2,2,False,654.0
266630,2013-03-21,38,33,0.0,10,20,3,2,False,666.0
294248,2013-03-22,41,30,0.0,10,20,4,2,False,665.0
270125,2013-03-23,45,35,0.0,10,23,5,2,False,598.0
297721,2013-03-24,46,34,0.0,10,14,6,2,False,648.0
300957,2013-03-25,40,37,0.0,10,23,0,2,False,649.0
304369,2013-03-26,49,39,0.0,10,13,1,2,False,618.0
307617,2013-03-27,52,38,0.0,10,24,2,2,False,579.0
310829,2013-03-28,49,39,0.0,10,21,3,2,False,660.0
314207,2013-03-29,54,42,0.0,10,20,4,2,False,637.0
317436,2013-03-30,57,42,0.0,10,14,5,2,False,671.0
320831,2013-03-31,54,40,0.0,10,22,6,2,False,629.0
273354,2013-04-01,61,40,0.0,10,29,0,2,False,676.0
276821,2013-04-02,44,34,0.0,10,24,1,2,False,530.0
279971,2013-04-03,46,35,0.0,10,24,2,2,False,647.0
324103,2013-04-04,49,35,0.0,10,18,3,2,False,662.0
327659,2013-04-05,61,42,0.0,10,25,4,2,False,641.0
283466,2013-04-07,54,41,0.0,10,29,6,2,False,659.0
331374,2013-04-08,71,47,0.0,10,13,0,2,False,731.0
286822,2013-04-09,80,47,0.0,10,24,1,2,False,743.0
335164,2013-04-10,69,53,0.0,10,33,2,2,False,751.0
338996,2013-04-11,59,48,0.0,10,18,3,2,False,643.0
290614,2013-04-12,47,42,0.0,10,25,4,2,False,714.0
342536,2013-04-13,56,42,0.0,10,12,5,2,False,633.0
345951,2013-04-14,55,49,0.0,10,18,6,2,False,614.0
349289,2013-04-15,56,45,0.0,10,15,0,2,False,730.0
353023,2013-04-16,60,47,0.0,10,24,1,2,False,648.0
356594,2013-04-17,68,55,0.0,10,13,2,2,False,689.0
360353,2013-04-18,61,50,0.0,10,18,3,2,False,648.0
391776,2013-04-19,70,54,0.0,10,28,4,2,False,700.0
363912,2013-04-20,64,50,0.0,10,21,5,2,False,608.0
367181,2013-04-21,52,39,0.0,10,20,6,2,False,649.0
370332,2013-04-22,55,42,0.0,10,21,0,2,False,707.0
395392,2013-04-23,52,42,0.0,10,21,1,2,False,598.0
398785,2013-04-25,67,48,0.0,10,22,3,2,False,682.0
402405,2013-04-26,65,51,0.0,10,16,4,2,False,709.0
406048,2013-04-27,67,49,0.0,10,13,5,2,False,694.0
373952,2013-04-28,67,51,0.0,10,20,6,2,False,626.0
409489,2013-04-29,59,54,0.0,10,13,0,2,False,697.0
413080,2013-04-30,65,51,0.0,10,15,1,2,False,630.0
416490,2013-05-01,66,49,0.0,10,15,2,2,False,702.0
420042,2013-05-02,67,50,0.0,10,13,3,2,False,711.0
423815,2013-05-03,63,51,0.0,10,17,4,2,False,717.0
377191,2013-05-04,66,50,0.0,10,15,5,2,False,661.0
380764,2013-05-05,60,46,0.0,10,16,6,2,False,667.0
427682,2013-05-06,67,47,0.0,10,13,0,2,False,807.0
384380,2013-05-07,71,53,0.0,10,14,1,2,False,749.0
431649,2013-05-08,65,55,0.0,10,20,2,2,False,695.0
435361,2013-05-09,68,55,0.0,10,13,3,2,False,675.0
439008,2013-05-10,80,61,0.0,10,18,4,2,False,817.0
388134,2013-05-11,68,62,0.0,10,14,5,2,False,661.0
458571,2013-05-12,69,55,0.0,10,24,6,2,False,686.0
443289,2013-05-13,56,49,0.0,10,21,0,2,False,785.0
447052,2013-05-14,62,45,0.0,10,17,1,2,False,658.0
497330,2013-05-15,69,54,0.0,10,18,2,2,False,732.0
450639,2013-05-16,78,63,0.0,10,16,3,2,False,745.0
454546,2013-05-17,73,61,0.0,10,16,4,2,False,747.0
462102,2013-05-18,65,56,0.0,10,12,5,2,False,684.0
465696,2013-05-20,78,57,0.0,10,13,0,2,False,763.0
469854,2013-05-21,85,68,0.0,10,18,1,2,False,770.0
501122,2013-05-22,78,57,0.0,10,20,2,2,False,707.0
473959,2013-05-23,79,64,0.0,10,18,3,2,False,715.0
477806,2013-05-24,67,49,0.0,10,22,4,2,False,674.0
504884,2013-05-25,55,46,0.0,10,30,5,2,False,652.0
508104,2013-05-26,66,50,0.0,10,23,6,2,False,725.0
511458,2013-05-27,76,56,0.0,10,14,0,2,True,667.0
481390,2013-05-28,71,57,0.0,10,13,1,2,False,660.0
514919,2013-05-29,81,57,0.0,10,12,2,2,False,747.0
484993,2013-05-30,93,74,0.0,10,13,3,2,False,729.0
518751,2013-05-31,92,77,0.0,10,14,4,2,False,843.0
523109,2013-06-01,89,75,0.0,10,14,5,3,False,784.0
527364,2013-06-02,87,70,0.0,10,18,6,3,False,744.0
489076,2013-06-03,77,70,0.0,10,13,0,3,False,772.0
493241,2013-06-04,75,59,0.0,10,17,1,3,False,782.0
