,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,TOTAL_CALL
5,2013-01-02,34,24,0.0,10,18,2,1,False,158.0
26026,2013-01-04,38,34,0.0,10,20,4,1,False,176.0
29967,2013-01-05,43,34,0.0,10,18,5,1,False,146.0
3760,2013-01-06,46,35,0.0,10,16,6,1,False,165.0
33390,2013-01-07,45,38,0.0,10,16,0,1,False,180.0
37429,2013-01-08,49,37,0.0,10,17,1,1,False,163.0
7220,2013-01-09,50,37,0.0,10,23,2,1,False,150.0
11044,2013-01-10,48,40,0.0,10,20,3,1,False,163.0
15077,2013-01-11,45,37,0.0,10,10,4,1,False,164.0
41444,2013-01-12,45,42,0.0,7,13,5,1,False,150.0
45199,2013-01-13,50,42,0.0,10,9,6,1,False,157.0
48627,2013-01-14,55,40,0.0,10,18,0,1,False,176.0
52615,2013-01-15,39,36,0.0,10,10,1,1,False,141.0
56139,2013-01-16,38,33,0.0,10,10,2,1,False,140.0
59836,2013-01-17,43,37,0.0,10,17,3,1,False,135.0
19163,2013-01-18,35,26,0.0,10,16,4,1,False,161.0
63411,2013-01-19,52,30,0.0,10,20,5,1,False,134.0
66913,2013-01-20,54,33,0.0,10,28,6,1,False,121.0
70075,2013-01-21,32,28,0.0,10,18,0,1,True,142.0
73207,2013-01-22,28,16,0.0,10,24,1,1,False,137.0
22781,2013-01-23,19,12,0.0,10,20,2,1,False,126.0
76652,2013-01-24,24,15,0.0,10,29,3,1,False,135.0
80154,2013-01-25,25,15,0.0,10,17,4,1,False,124.0
87161,2013-01-26,29,18,0.0,10,22,5,1,False,147.0
104654,2013-01-28,36,30,0.0,10,13,0,1,False,180.0
108292,2013-01-29,45,37,0.0,9,16,1,1,False,153.0
83607,2013-01-30,54,37,0.0,10,21,2,1,False,134.0
111923,2013-01-31,59,31,0.0,10,40,3,1,False,145.0
115458,2013-02-01,32,25,0.0,10,22,4,1,False,142.0
119020,2013-02-02,29,20,0.0,10,16,5,1,False,137.0
122512,2013-02-03,31,24,0.0,10,14,6,1,False,135.0
90487,2013-02-04,31,25,0.0,10,22,0,1,False,143.0
125717,2013-02-05,31,28,0.0,10,14,1,1,False,166.0
